host,service,pid,target,message,hour,minute,second,day_of_week,day,month,time_delta
171056740,cron,6539,0,Started Daily backup,11,29,6,6,25,2,0.0
171056740,service,1595,0,Started mysql service,11,43,16,6,25,2,850.0
172823800,cron,2406,0,Started Daily backup,11,46,56,6,25,2,1070.0
3439435287861071516,cron,9853,0,Started Log rotation,11,48,9,6,25,2,1143.0
3439435287861071516,systemd,4611,0,Started Log rotation,12,2,39,6,25,2,2013.0
3439435287861071516,service,6487,0,Started mysql service,12,10,31,6,25,2,2485.0
3439435287861071516,cron,3859,0,Started Log rotation,12,19,30,6,25,2,3024.0
-5853922760334480549,sshd,3184,0,Accepted publickey for developer from 10.0.0.50,12,19,53,6,25,2,3047.0
171056740,cron,1550,0,Started Daily backup,12,28,45,6,25,2,3579.0
171056740,cron,9041,0,Started Daily backup,12,35,59,6,25,2,4013.0
171056740,systemd,3277,0,Started System maintenance,12,41,45,6,25,2,4359.0
3439435287861071516,service,8294,0,Started postgres service,12,53,31,6,25,2,5065.0
3439435287861071516,service,9617,0,Started nginx service,13,55,4,6,25,2,8758.0
172823800,sshd,1210,0,Accepted publickey for ubuntu from 10.0.0.50,13,55,41,6,25,2,8795.0
-5853922760334480549,sshd,9404,0,Accepted publickey for ubuntu from 10.0.0.50,14,2,14,6,25,2,9188.0
3439435287861071516,sudo,2369,0,deploy : TTY=pts/1 ; COMMAND=cd /var/www,14,35,30,6,25,2,11184.0
3439435287861071516,service,7442,0,Started postgres service,14,40,15,6,25,2,11469.0
172823800,cron,8884,0,Started Daily backup,14,45,11,6,25,2,11765.0
171056740,sudo,8938,0,admin : TTY=pts/0 ; COMMAND=docker ps,15,17,35,6,25,2,13709.0
3439435287861071516,systemd,8951,0,Started Daily backup,15,20,53,6,25,2,13907.0
-5853922760334480549,sudo,7188,0,developer : TTY=pts/1 ; COMMAND=cat /var/log/syslog,15,26,43,6,25,2,14257.0
3439435287861071516,systemd,1845,0,Started Daily backup,15,47,12,6,25,2,15486.0
172823800,service,7310,0,Started cron service,15,55,5,6,25,2,15959.0
3439435287861071516,cron,8135,0,Started Log rotation,15,58,5,6,25,2,16139.0
3439435287861071516,cron,9873,0,Started System maintenance,16,4,12,6,25,2,16506.0
3439435287861071516,sshd,4787,0,Accepted publickey for ci-cd from 10.0.0.50,16,7,16,6,25,2,16690.0
171056740,service,4674,0,Started nginx service,16,7,36,6,25,2,16710.0
-5853922760334480549,cron,3654,0,Started Log rotation,16,19,37,6,25,2,17431.0
-5853922760334480549,sshd,9542,0,Accepted publickey for backup from 10.0.0.50,16,33,33,6,25,2,18267.0
172823800,sudo,8138,0,deploy : TTY=pts/1 ; COMMAND=systemctl restart nginx,16,36,46,6,25,2,18460.0
172823800,sshd,3664,0,Failed password for admin from 172.16.0.25 port 56533,16,44,23,6,25,2,18917.0
172823800,sshd,6218,0,Failed password for admin from 85.245.107.41 port 39550,16,51,58,6,25,2,19372.0
3439435287861071516,proftpd,7587,0,"Connection from 85.245.107.41, user ftp_user, command STOR backup.zip",17,2,27,6,25,2,20001.0
172823800,systemd,9548,0,Started Log rotation,17,9,9,6,25,2,20403.0
171056740,service,4953,0,Started docker service,17,10,14,6,25,2,20468.0
171056740,sshd,3513,0,Accepted publickey for admin from 172.16.0.25,17,31,12,6,25,2,21726.0
171056740,sshd,8993,0,Accepted publickey for deploy from 10.0.0.50,17,37,59,6,25,2,22133.0
3439435287861071516,cron,4122,0,Started Log rotation,17,44,28,6,25,2,22522.0
172823800,cron,2288,0,Started Log rotation,17,46,10,6,25,2,22624.0
3439435287861071516,sudo,5393,0,backup : TTY=pts/0 ; COMMAND=cd /var/www,18,5,7,6,25,2,23761.0
172823800,sshd,4822,0,Accepted publickey for deploy from 10.0.0.50,18,27,37,6,25,2,25111.0
172823800,cron,9100,0,Started Daily backup,18,28,50,6,25,2,25184.0
171056740,sudo,8266,0,backup : TTY=pts/1 ; COMMAND=cat /var/log/syslog,18,32,6,6,25,2,25380.0
-5853922760334480549,sshd,7379,0,Accepted publickey for ci-cd from 192.168.1.100,18,32,44,6,25,2,25418.0
171056740,sudo,9989,0,ubuntu : TTY=pts/0 ; COMMAND=git pull,18,36,24,6,25,2,25638.0
3439435287861071516,sshd,5477,0,Failed password for admin from 10.0.0.50 port 47374,18,41,58,6,25,2,25972.0
171056740,sshd,5874,0,Failed password for ci-cd from 172.16.0.25 port 54692,18,42,30,6,25,2,26004.0
3439435287861071516,cron,2004,0,Started Daily backup,18,47,26,6,25,2,26300.0
-5853922760334480549,sudo,9962,0,backup : TTY=pts/1 ; COMMAND=/usr/bin/sudo -l,19,0,31,6,25,2,27085.0
171056740,cron,3116,0,Started System maintenance,19,14,6,6,25,2,27900.0
172823800,sshd,6407,0,Accepted publickey for ubuntu from 172.16.0.25,19,17,28,6,25,2,28102.0
171056740,sshd,5263,0,Accepted publickey for ubuntu from 172.16.0.25,19,31,25,6,25,2,28939.0
3439435287861071516,service,4075,0,Started cron service,19,33,8,6,25,2,29042.0
171056740,systemd,8866,0,Started Log rotation,20,9,35,6,25,2,31229.0
172823800,sshd,9734,0,Accepted publickey for ubuntu from 192.168.1.100,20,20,20,6,25,2,31874.0
171056740,systemd,6966,0,Started Daily backup,20,37,31,6,25,2,32905.0
-5853922760334480549,service,5681,0,Started postgres service,20,39,18,6,25,2,33012.0
171056740,sshd,8933,0,Accepted publickey for ubuntu from 85.245.107.41,20,52,43,6,25,2,33817.0
-5853922760334480549,sshd,4579,0,Accepted publickey for deploy from 10.0.0.50,20,56,8,6,25,2,34022.0
-5853922760334480549,sudo,4588,0,ubuntu : TTY=pts/1 ; COMMAND=cd /var/www,21,24,6,6,25,2,35700.0
3439435287861071516,cron,4197,0,Started Log rotation,21,46,51,6,25,2,37065.0
171056740,cron,7603,0,Started Log rotation,21,52,44,6,25,2,37418.0
3439435287861071516,service,1248,0,Started docker service,21,54,47,6,25,2,37541.0
172823800,service,4198,0,Started redis service,21,58,32,6,25,2,37766.0
